Lv0	Lv1	Lv2	Combined	Displayed	Population	Population by Lv0	Date of Data	Notes
義大利	特倫提諾-上阿迪傑大區		義大利特倫提諾-上阿迪傑大區	義大利特倫提諾-上阿迪傑大區	1097844		2022-01-26	
義大利	溫布利亞大區		義大利溫布利亞大區	義大利溫布利亞大區	880560		2022-01-26	
義大利	巴西利卡塔大區		義大利巴西利卡塔大區	義大利巴西利卡塔大區	557421		2022-01-26	
義大利	莫利塞大區		義大利莫利塞大區	義大利莫利塞大區	301877		2022-01-26	
義大利	瓦萊達奧斯塔大區		義大利瓦萊達奧斯塔大區	義大利瓦萊達奧斯塔大區	126122	60322638	2022-01-26	
肯亞	奈洛比郡		肯亞奈洛比郡	肯亞奈洛比郡	5142058		2022-01-26	
肯亞	基安布郡		肯亞基安布郡	肯亞基安布郡	2827366		2022-01-26	
肯亞	納庫魯郡		肯亞納庫魯郡	肯亞納庫魯郡	2528538		2022-01-26	
肯亞	卡卡梅加郡		肯亞卡卡梅加郡	肯亞卡卡梅加郡	2183998		2022-01-26	
肯亞	奔戈馬郡		肯亞奔戈馬郡	肯亞奔戈馬郡	1953611		2022-01-26	
肯亞	梅魯郡		肯亞梅魯郡	肯亞梅魯郡	1807600		2022-01-26	
肯亞	基利菲郡		肯亞基利菲郡	肯亞基利菲郡	1700099		2022-01-26	
肯亞	馬查克斯郡		肯亞馬查克斯郡	肯亞馬查克斯郡	1662846		2022-01-26	
肯亞	基西郡		肯亞基西郡	肯亞基西郡	1481501		2022-01-26	
肯亞	蒙巴薩郡		肯亞蒙巴薩郡	肯亞蒙巴薩郡	1413058		2022-01-26	
肯亞	瓦辛基蘇郡		肯亞瓦辛基蘇郡	肯亞瓦辛基蘇郡	1360262		2022-01-26	
肯亞	納羅克郡		肯亞納羅克郡	肯亞納羅克郡	1354049		2022-01-26	
肯亞	基蘇木郡		肯亞基蘇木郡	肯亞基蘇木郡	1351360		2022-01-26	
肯亞	基圖伊郡		肯亞基圖伊郡	肯亞基圖伊郡	1328688		2022-01-26	
肯亞	霍馬灣郡		肯亞霍馬灣郡	肯亞霍馬灣郡	1323733		2022-01-26	
肯亞	卡賈多郡		肯亞卡賈多郡	肯亞卡賈多郡	1307233		2022-01-26	
肯亞	米戈利郡		肯亞米戈利郡	肯亞米戈利郡	1305591		2022-01-26	
肯亞	穆拉雅郡		肯亞穆拉雅郡	肯亞穆拉雅郡	1235664		2022-01-26	
肯亞	夏亞郡		肯亞夏亞郡	肯亞夏亞郡	1161456		2022-01-26	
肯亞	特蘭斯-恩佐亞郡		肯亞特蘭斯-恩佐亞郡	肯亞特蘭斯-恩佐亞郡	1158132		2022-01-26	
肯亞	馬瓜尼郡		肯亞馬瓜尼郡	肯亞馬瓜尼郡	1154989		2022-01-26	
肯亞	圖爾卡納郡		肯亞圖爾卡納郡	肯亞圖爾卡納郡	1084031		2022-01-26	
肯亞	凱里喬郡		肯亞凱里喬郡	肯亞凱里喬郡	1054563		2022-01-26	
肯亞	布西亞郡		肯亞布西亞郡	肯亞布西亞郡	1045095		2022-01-26	
肯亞	南迪郡		肯亞南迪郡	肯亞南迪郡	1035775		2022-01-26	
肯亞	博美特郡		肯亞博美特郡	肯亞博美特郡	1024055		2022-01-26	
肯亞	曼德拉郡		肯亞曼德拉郡	肯亞曼德拉郡	1014428		2022-01-26	
肯亞	夸勒郡		肯亞夸勒郡	肯亞夸勒郡	1013683		2022-01-26	
肯亞	加里薩郡		肯亞加里薩郡	肯亞加里薩郡	983901		2022-01-26	
肯亞	瓦吉爾郡		肯亞瓦吉爾郡	肯亞瓦吉爾郡	913630		2022-01-26	
肯亞	尼耶利郡		肯亞尼耶利郡	肯亞尼耶利郡	887787		2022-01-26	
肯亞	巴林戈郡		肯亞巴林戈郡	肯亞巴林戈郡	779731		2022-01-26	
肯亞	年達魯阿郡		肯亞年達魯阿郡	肯亞年達魯阿郡	746433		2022-01-26	
肯亞	西波克特郡		肯亞西波克特郡	肯亞西波克特郡	726496		2022-01-26	
肯亞	基里尼亞加郡		肯亞基里尼亞加郡	肯亞基里尼亞加郡	713831		2022-01-26	
肯亞	恩布郡		肯亞恩布郡	肯亞恩布郡	711712		2022-01-26	
肯亞	尼亞米拉郡		肯亞尼亞米拉郡	肯亞尼亞米拉郡	708177		2022-01-26	
肯亞	韋希加郡		肯亞韋希加郡	肯亞韋希加郡	689977		2022-01-26	
肯亞	萊基皮亞郡		肯亞萊基皮亞郡	肯亞萊基皮亞郡	606418		2022-01-26	
肯亞	馬薩比特郡		肯亞馬薩比特郡	肯亞馬薩比特郡	537685		2022-01-26	
肯亞	埃爾格約-馬拉奎特郡		肯亞埃爾格約-馬拉奎特郡	肯亞埃爾格約-馬拉奎特郡	531481		2022-01-26	
肯亞	薩拉卡尼蒂郡		肯亞薩拉卡尼蒂郡	肯亞薩拉卡尼蒂郡	459792		2022-01-26	
肯亞	泰塔塔維塔郡		肯亞泰塔塔維塔郡	肯亞泰塔塔維塔郡	398390		2022-01-26	
肯亞	塔納河郡		肯亞塔納河郡	肯亞塔納河郡	369472		2022-01-26	
肯亞	桑布盧郡		肯亞桑布盧郡	肯亞桑布盧郡	362906		2022-01-26	
肯亞	伊西奧洛郡		肯亞伊西奧洛郡	肯亞伊西奧洛郡	313410		2022-01-26	
肯亞	拉穆郡		肯亞拉穆郡	肯亞拉穆郡	168305	55622996	2022-01-26	
緬甸	仰光省		緬甸仰光省	緬甸仰光省	7601153		2022-01-26	
緬甸	伊洛瓦底省		緬甸伊洛瓦底省	緬甸伊洛瓦底省	6386868		2022-01-26	
緬甸	曼德勒省		緬甸曼德勒省	緬甸曼德勒省	6367138		2022-01-26	
緬甸	撣邦		緬甸撣邦	緬甸撣邦	6014698		2022-01-26	
緬甸	實皆省		緬甸實皆省	緬甸實皆省	5499309		2022-01-26	
緬甸	勃固省		緬甸勃固省	緬甸勃固省	5026375		2022-01-26	
緬甸	馬圭省		緬甸馬圭省	緬甸馬圭省	4045013		2022-01-26	
緬甸	若開邦		緬甸若開邦	緬甸若開邦	3292975		2022-01-26	
緬甸	孟邦		緬甸孟邦	緬甸孟邦	2121503		2022-01-26	
緬甸	克欽邦		緬甸克欽邦	緬甸克欽邦	1744630		2022-01-26	
緬甸	克倫邦		緬甸克倫邦	緬甸克倫邦	1625499		2022-01-26	
緬甸	德林達依省		緬甸德林達依省	緬甸德林達依省	1454409		2022-01-26	
緬甸	奈比多聯邦區		緬甸奈比多聯邦區	緬甸奈比多聯邦區	1198143		2022-01-26	
緬甸	佤邦		緬甸佤邦	緬甸佤邦	782761		2022-01-26	
緬甸	欽邦		緬甸欽邦	緬甸欽邦	494442		2022-01-26	
緬甸	勃歐自治區		緬甸勃歐自治區	緬甸勃歐自治區	471923		2022-01-26	
緬甸	克耶邦		緬甸克耶邦	緬甸克耶邦	295990		2022-01-26	
緬甸	德努自治區		緬甸德努自治區	緬甸德努自治區	167122		2022-01-26	
緬甸	果敢自治區		緬甸果敢自治區	緬甸果敢自治區	154900		2022-01-26	
緬甸	那加自治區		緬甸那加自治區	緬甸那加自治區	120644		2022-01-26	
緬甸	德昂自治區		緬甸德昂自治區	緬甸德昂自治區	115188	54980683	2022-01-26	
韓國	京畿道		韓國京畿道	韓國京畿道	13413459		2022-01-26	
韓國	首爾特別市		韓國首爾特別市	韓國首爾特別市	9765869		2022-01-26	
韓國	慶尚南道		韓國慶尚南道	韓國慶尚南道	3447687		2022-01-26	
韓國	釜山廣域市		韓國釜山廣域市	韓國釜山廣域市	3411829		2022-01-26	
韓國	仁川廣域市		韓國仁川廣域市	韓國仁川廣域市	2954955		2022-01-26	
韓國	慶尚北道		韓國慶尚北道	韓國慶尚北道	2700328		2022-01-26	
韓國	大邱廣域市		韓國大邱廣域市	韓國大邱廣域市	2446144		2022-01-26	
韓國	忠清南道		韓國忠清南道	韓國忠清南道	2059871		2022-01-26	
韓國	全羅南道		韓國全羅南道	韓國全羅南道	1902324		2022-01-26	
韓國	全羅北道		韓國全羅北道	韓國全羅北道	1869711		2022-01-26	
韓國	忠清北道		韓國忠清北道	韓國忠清北道	1578934		2022-01-26	
韓國	江原道		韓國江原道	韓國江原道	1564615		2022-01-26	
韓國	大田廣域市		韓國大田廣域市	韓國大田廣域市	1508120		2022-01-26	
韓國	光州廣域市		韓國光州廣域市	韓國光州廣域市	1490092		2022-01-26	
韓國	蔚山廣域市		韓國蔚山廣域市	韓國蔚山廣域市	1163690		2022-01-26	
韓國	濟州特別自治道		韓國濟州特別自治道	韓國濟州特別自治道	604771		2022-01-26	
韓國	世宗特別自治市		韓國世宗特別自治市	韓國世宗特別自治市	351007	52233406	2022-01-26	
哥倫比亞	波哥大首都區		哥倫比亞波哥大首都區	哥倫比亞波哥大首都區	7952896		2022-01-26	
哥倫比亞	安蒂奧基亞省		哥倫比亞安蒂奧基亞省	哥倫比亞安蒂奧基亞省	6858108		2022-01-26	
哥倫比亞	考卡山谷省		哥倫比亞考卡山谷省	哥倫比亞考卡山谷省	4654434		2022-01-26	
哥倫比亞	昆迪納馬卡省		哥倫比亞昆迪納馬卡省	哥倫比亞昆迪納馬卡省	3330499		2022-01-26	
哥倫比亞	大西洋省		哥倫比亞大西洋省	哥倫比亞大西洋省	2795574		2022-01-26	
哥倫比亞	桑坦德省		哥倫比亞桑坦德省	哥倫比亞桑坦德省	2342449		2022-01-26	
哥倫比亞	玻利瓦爾省		哥倫比亞玻利瓦爾省	哥倫比亞玻利瓦爾省	2239821		2022-01-26	
哥倫比亞	科爾多瓦省		哥倫比亞科爾多瓦省	哥倫比亞科爾多瓦省	1878294		2022-01-26	
哥倫比亞	納里尼奧省		哥倫比亞納里尼奧省	哥倫比亞納里尼奧省	1671503		2022-01-26	
哥倫比亞	北桑坦德省		哥倫比亞北桑坦德省	哥倫比亞北桑坦德省	1664036		2022-01-26	
哥倫比亞	考卡省		哥倫比亞考卡省	哥倫比亞考卡省	1532191		2022-01-26	
哥倫比亞	馬格達萊納省		哥倫比亞馬格達萊納省	哥倫比亞馬格達萊納省	1465529		2022-01-26	
哥倫比亞	托利馬省		哥倫比亞托利馬省	哥倫比亞托利馬省	1376153		2022-01-26	
哥倫比亞	塞薩爾省		哥倫比亞塞薩爾省	哥倫比亞塞薩爾省	1330338		2022-01-26	
哥倫比亞	博亞卡省		哥倫比亞博亞卡省	哥倫比亞博亞卡省	1276261		2022-01-26	
哥倫比亞	烏伊拉省		哥倫比亞烏伊拉省	哥倫比亞烏伊拉省	1152912		2022-01-26	
哥倫比亞	梅塔省		哥倫比亞梅塔省	哥倫比亞梅塔省	1092147		2022-01-26	
哥倫比亞	爾達斯省		哥倫比亞爾達斯省	哥倫比亞爾達斯省	1045932		2022-01-26	
哥倫比亞	瓜希拉省		哥倫比亞瓜希拉省	哥倫比亞瓜希拉省	991774		2022-01-26	
哥倫比亞	里薩拉爾達省		哥倫比亞里薩拉爾達省	哥倫比亞里薩拉爾達省	986985		2022-01-26	
哥倫比亞	蘇克雷省		哥倫比亞蘇克雷省	哥倫比亞蘇克雷省	974864		2022-01-26	
哥倫比亞	金迪奧省		哥倫比亞金迪奧省	哥倫比亞金迪奧省	570386		2022-01-26	
哥倫比亞	喬科省		哥倫比亞喬科省	哥倫比亞喬科省	559462		2022-01-26	
哥倫比亞	薩納雷省		哥倫比亞薩納雷省	哥倫比亞薩納雷省	446937		2022-01-26	
哥倫比亞	卡克塔省		哥倫比亞卡克塔省	哥倫比亞卡克塔省	421597		2022-01-26	
哥倫比亞	普圖馬約省		哥倫比亞普圖馬約省	哥倫比亞普圖馬約省	368817		2022-01-26	
哥倫比亞	阿勞卡省		哥倫比亞阿勞卡省	哥倫比亞阿勞卡省	302144		2022-01-26	
哥倫比亞	比查達省		哥倫比亞比查達省	哥倫比亞比查達省	116006		2022-01-26	
哥倫比亞	瓜維亞雷省		哥倫比亞瓜維亞雷省	哥倫比亞瓜維亞雷省	88995		2022-01-26	
哥倫比亞	亞馬遜省		哥倫比亞亞馬遜省	哥倫比亞亞馬遜省	81152		2022-01-26	
哥倫比亞	聖安德列斯-普羅維登西亞省		哥倫比亞聖安德列斯-普羅維登西亞省	哥倫比亞聖安德列斯-普羅維登西亞省	65410		2022-01-26	
哥倫比亞	瓜伊尼亞省		哥倫比亞瓜伊尼亞省	哥倫比亞瓜伊尼亞省	52003		2022-01-26	
哥倫比亞	沃佩斯省		哥倫比亞沃佩斯省	哥倫比亞沃佩斯省	45919	51731528	2022-01-26	
烏干達	中部區		烏干達中部區	烏干達中部區	13205834		2022-01-26	
烏干達	東部區		烏干達東部區	烏干達東部區	12531208		2022-01-26	
烏干達	西部區		烏干達西部區	烏干達西部區	12299000		2022-01-26	
烏干達	北部區		烏干達北部區	烏干達北部區	9961498	47997540	2022-01-26	
西班牙	安達魯西亞自治區		西班牙安達魯西亞自治區	西班牙安達魯西亞自治區	8464411		2022-01-26	
西班牙	加泰隆尼亞自治區		西班牙加泰隆尼亞自治區	西班牙加泰隆尼亞自治區	7780479		2022-01-26	
西班牙	馬德里自治區		西班牙馬德里自治區	西班牙馬德里自治區	6779888		2022-01-26	
西班牙	瓦倫西亞自治區		西班牙瓦倫西亞自治區	西班牙瓦倫西亞自治區	5057353		2022-01-26	
西班牙	加利西亞自治區		西班牙加利西亞自治區	西班牙加利西亞自治區	2701819		2022-01-26	
西班牙	卡斯提亞-雷昂自治區		西班牙卡斯提亞-雷昂自治區	西班牙卡斯提亞-雷昂自治區	2394918		2022-01-26	
西班牙	巴斯克自治區		西班牙巴斯克自治區	西班牙巴斯克自治區	2220504		2022-01-26	
西班牙	加納利群島自治區		西班牙加納利群島自治區	西班牙加納利群島自治區	2175952		2022-01-26	
西班牙	卡斯提爾-拉曼查自治區		西班牙卡斯提爾-拉曼查自治區	西班牙卡斯提爾-拉曼查自治區	2045221		2022-01-26	
西班牙	穆爾西亞自治區		西班牙穆爾西亞自治區	西班牙穆爾西亞自治區	1511251		2022-01-26	
西班牙	亞拉岡自治區		西班牙亞拉岡自治區	西班牙亞拉岡自治區	1329391		2022-01-26	
西班牙	巴利亞利群島自治區		西班牙巴利亞利群島自治區	西班牙巴利亞利群島自治區	1171543		2022-01-26	
西班牙	埃斯特雷馬杜拉自治區		西班牙埃斯特雷馬杜拉自治區	西班牙埃斯特雷馬杜拉自治區	1063987		2022-01-26	
西班牙	阿斯圖里亞斯自治區		西班牙阿斯圖里亞斯自治區	西班牙阿斯圖里亞斯自治區	1018784		2022-01-26	
西班牙	納瓦拉自治區		西班牙納瓦拉自治區	西班牙納瓦拉自治區	661197		2022-01-26	
西班牙	坎塔布里亞自治區		西班牙坎塔布里亞自治區	西班牙坎塔布里亞自治區	582905		2022-01-26	
西班牙	拉里奧哈自治區		西班牙拉里奧哈自治區	西班牙拉里奧哈自治區	319914		2022-01-26	
西班牙	梅利利亞自治市		西班牙梅利利亞自治市	西班牙梅利利亞自治市	87076		2022-01-26	
西班牙	休達自治市		西班牙休達自治市	西班牙休達自治市	84202	47450795	2022-01-26	
阿根廷	布宜諾斯艾利斯省		阿根廷布宜諾斯艾利斯省	阿根廷布宜諾斯艾利斯省	17722061		2022-01-26	
阿根廷	科爾多瓦省		阿根廷科爾多瓦省	阿根廷科爾多瓦省	3799235		2022-01-26	
阿根廷	聖菲省		阿根廷聖菲省	阿根廷聖菲省	3572893		2022-01-26	
阿根廷	布宜諾斯艾利斯自治市		阿根廷布宜諾斯艾利斯自治市	阿根廷布宜諾斯艾利斯自治市	3107368		2022-01-26	
阿根廷	門多薩省		阿根廷門多薩省	阿根廷門多薩省	2010867		2022-01-26	
阿根廷	圖庫曼省		阿根廷圖庫曼省	阿根廷圖庫曼省	1712134		2022-01-26	
阿根廷	薩爾塔省		阿根廷薩爾塔省	阿根廷薩爾塔省	1439088		2022-01-26	
阿根廷	恩特雷里奧斯省		阿根廷恩特雷里奧斯省	阿根廷恩特雷里奧斯省	1400256		2022-01-26	
阿根廷	米西奧內斯省		阿根廷米西奧內斯省	阿根廷米西奧內斯省	1274303		2022-01-26	
阿根廷	查科省		阿根廷查科省	阿根廷查科省	1216965		2022-01-26	
阿根廷	科連特斯省		阿根廷科連特斯省	阿根廷科連特斯省	1132361		2022-01-26	
阿根廷	聖地牙哥-德爾埃斯特羅省		阿根廷聖地牙哥-德爾埃斯特羅省	阿根廷聖地牙哥-德爾埃斯特羅省	988403		2022-01-26	
阿根廷	聖胡安省		阿根廷聖胡安省	阿根廷聖胡安省	789274		2022-01-26	
阿根廷	胡胡伊省		阿根廷胡胡伊省	阿根廷胡胡伊省	778832		2022-01-26	
阿根廷	內格羅河省		阿根廷內格羅河省	阿根廷內格羅河省	755321		2022-01-26	
阿根廷	內烏肯省		阿根廷內烏肯省	阿根廷內烏肯省	670906		2022-01-26	
阿根廷	丘布特省		阿根廷丘布特省	阿根廷丘布特省	625378		2022-01-26	
阿根廷	福莫薩省		阿根廷福莫薩省	阿根廷福莫薩省	611435		2022-01-26	
阿根廷	聖路易斯省		阿根廷聖路易斯省	阿根廷聖路易斯省	513571		2022-01-26	
阿根廷	卡塔馬卡省		阿根廷卡塔馬卡省	阿根廷卡塔馬卡省	419723		2022-01-26	
阿根廷	拉里奧哈省		阿根廷拉里奧哈省	阿根廷拉里奧哈省	397591		2022-01-26	
阿根廷	聖克魯斯省		阿根廷聖克魯斯省	阿根廷聖克魯斯省	369470		2022-01-26	
阿根廷	拉潘帕省		阿根廷拉潘帕省	阿根廷拉潘帕省	362126		2022-01-26	
阿根廷	火地、南極及南大西洋諸島		阿根廷火地、南極及南大西洋諸島	阿根廷火地、南極及南大西洋諸島	175222	45844783	2022-01-26	
阿爾及利亞	阿爾及爾省		阿爾及利亞阿爾及爾省	阿爾及利亞阿爾及爾省	3934713		2022-01-26	
阿爾及利亞	塞提夫省		阿爾及利亞塞提夫省	阿爾及利亞塞提夫省	1961966		2022-01-26	
阿爾及利亞	瓦赫蘭省		阿爾及利亞瓦赫蘭省	阿爾及利亞瓦赫蘭省	1914692		2022-01-26	
阿爾及利亞	提濟烏祖省		阿爾及利亞提濟烏祖省	阿爾及利亞提濟烏祖省	1484806		2022-01-26	
阿爾及利亞	巴特納省		阿爾及利亞巴特納省	阿爾及利亞巴特納省	1474512		2022-01-26	
阿爾及利亞	傑勒法省		阿爾及利亞傑勒法省	阿爾及利亞傑勒法省	1438160		2022-01-26	
阿爾及利亞	卜利達省		阿爾及利亞卜利達省	阿爾及利亞卜利達省	1320642		2022-01-26	
阿爾及利亞	謝利夫省		阿爾及利亞謝利夫省	阿爾及利亞謝利夫省	1319524		2022-01-26	
阿爾及利亞	姆西拉省		阿爾及利亞姆西拉省	阿爾及利亞姆西拉省	1304385		2022-01-26	
阿爾及利亞	特萊姆森省		阿爾及利亞特萊姆森省	阿爾及利亞特萊姆森省	1249797		2022-01-26	
阿爾及利亞	君士坦丁省		阿爾及利亞君士坦丁省	阿爾及利亞君士坦丁省	1235760		2022-01-26	
阿爾及利亞	貝賈亞省		阿爾及利亞貝賈亞省	阿爾及利亞貝賈亞省	1201658		2022-01-26	
阿爾及利亞	斯基克達省		阿爾及利亞斯基克達省	阿爾及利亞斯基克達省	1183359		2022-01-26	
阿爾及利亞	提亞雷特省		阿爾及利亞提亞雷特省	阿爾及利亞提亞雷特省	1115075		2022-01-26	
阿爾及利亞	麥迪亞省		阿爾及利亞麥迪亞省	阿爾及利亞麥迪亞省	1079666		2022-01-26	
阿爾及利亞	布米爾達斯省		阿爾及利亞布米爾達斯省	阿爾及利亞布米爾達斯省	1056163		2022-01-26	
阿爾及利亞	穆阿斯凱爾省		阿爾及利亞穆阿斯凱爾省	阿爾及利亞穆阿斯凱爾省	1032447		2022-01-26	
阿爾及利亞	米拉省		阿爾及利亞米拉省	阿爾及利亞米拉省	1009816		2022-01-26	
阿爾及利亞	艾因迪夫拉省		阿爾及利亞艾因迪夫拉省	阿爾及利亞艾因迪夫拉省	1008666		2022-01-26	
阿爾及利亞	穆斯塔加奈姆省		阿爾及利亞穆斯塔加奈姆省	阿爾及利亞穆斯塔加奈姆省	970618		2022-01-26	
阿爾及利亞	埃利贊省		阿爾及利亞埃利贊省	阿爾及利亞埃利贊省	956215		2022-01-26	
阿爾及利亞	布維拉省		阿爾及利亞布維拉省	阿爾及利亞布維拉省	915926		2022-01-26	
阿爾及利亞	泰貝薩省		阿爾及利亞泰貝薩省	阿爾及利亞泰貝薩省	854196		2022-01-26	
阿爾及利亞	瓦德省		阿爾及利亞瓦德省	阿爾及利亞瓦德省	852675		2022-01-26	
阿爾及利亞	吉傑勒省		阿爾及利亞吉傑勒省	阿爾及利亞吉傑勒省	838717		2022-01-26	
阿爾及利亞	布阿拉里季堡省		阿爾及利亞布阿拉里季堡省	阿爾及利亞布阿拉里季堡省	827560		2022-01-26	
阿爾及利亞	烏姆布瓦吉省		阿爾及利亞烏姆布瓦吉省	阿爾及利亞烏姆布瓦吉省	818523		2022-01-26	
阿爾及利亞	安納巴省		阿爾及利亞安納巴省	阿爾及利亞安納巴省	802573		2022-01-26	
阿爾及利亞	西迪貝勒阿巴斯省		阿爾及利亞西迪貝勒阿巴斯省	阿爾及利亞西迪貝勒阿巴斯省	796312		2022-01-26	
阿爾及利亞	提帕薩省		阿爾及利亞提帕薩省	阿爾及利亞提帕薩省	778227		2022-01-26	
阿爾及利亞	比斯克拉省		阿爾及利亞比斯克拉省	阿爾及利亞比斯克拉省	720456		2022-01-26	
阿爾及利亞	蓋勒馬省		阿爾及利亞蓋勒馬省	阿爾及利亞蓋勒馬省	635252		2022-01-26	
阿爾及利亞	艾格瓦特省		阿爾及利亞艾格瓦特省	阿爾及利亞艾格瓦特省	599925		2022-01-26	
阿爾及利亞	蘇格艾赫拉斯省		阿爾及利亞蘇格艾赫拉斯省	阿爾及利亞蘇格艾赫拉斯省	576915		2022-01-26	
阿爾及利亞	塔里夫省		阿爾及利亞塔里夫省	阿爾及利亞塔里夫省	537789		2022-01-26	
阿爾及利亞	漢舍萊省		阿爾及利亞漢舍萊省	阿爾及利亞漢舍萊省	509174		2022-01-26	
阿爾及利亞	艾因泰穆尚特省		阿爾及利亞艾因泰穆尚特省	阿爾及利亞艾因泰穆尚特省	488838		2022-01-26	
阿爾及利亞	塞伊達省		阿爾及利亞塞伊達省	阿爾及利亞塞伊達省	435380		2022-01-26	
阿爾及利亞	瓦爾格拉省		阿爾及利亞瓦爾格拉省	阿爾及利亞瓦爾格拉省	409961		2022-01-26	
阿爾及利亞	蓋爾達耶省		阿爾及利亞蓋爾達耶省	阿爾及利亞蓋爾達耶省	403357		2022-01-26	
阿爾及利亞	提塞姆西勒特省		阿爾及利亞提塞姆西勒特省	阿爾及利亞提塞姆西勒特省	387759		2022-01-26	
阿爾及利亞	阿德拉爾省		阿爾及利亞阿德拉爾省	阿爾及利亞阿德拉爾省	344018		2022-01-26	
阿爾及利亞	圖古爾特省		阿爾及利亞圖古爾特省	阿爾及利亞圖古爾特省	325534		2022-01-26	
阿爾及利亞	巴亞茲省		阿爾及利亞巴亞茲省	阿爾及利亞巴亞茲省	301046		2022-01-26	
阿爾及利亞	貝沙爾省		阿爾及利亞貝沙爾省	阿爾及利亞貝沙爾省	289556		2022-01-26	
阿爾及利亞	納馬省		阿爾及利亞納馬省	阿爾及利亞納馬省	253994		2022-01-26	
阿爾及利亞	奧拉德傑拉勒省		阿爾及利亞奧拉德傑拉勒省	阿爾及利亞奧拉德傑拉勒省	229407		2022-01-26	
阿爾及利亞	邁蓋耶爾省		阿爾及利亞邁蓋耶爾省	阿爾及利亞邁蓋耶爾省	213669		2022-01-26	
阿爾及利亞	提米蒙省		阿爾及利亞提米蒙省	阿爾及利亞提米蒙省	160672		2022-01-26	
阿爾及利亞	塔曼拉塞特省		阿爾及利亞塔曼拉塞特省	阿爾及利亞塔曼拉塞特省	151486		2022-01-26	
阿爾及利亞	邁尼耶省		阿爾及利亞邁尼耶省	阿爾及利亞邁尼耶省	75420		2022-01-26	
阿爾及利亞	因薩拉赫省		阿爾及利亞因薩拉赫省	阿爾及利亞因薩拉赫省	66355		2022-01-26	
阿爾及利亞	貝尼阿巴斯省		阿爾及利亞貝尼阿巴斯省	阿爾及利亞貝尼阿巴斯省	66053		2022-01-26	
阿爾及利亞	廷杜夫省		阿爾及利亞廷杜夫省	阿爾及利亞廷杜夫省	64718		2022-01-26	
阿爾及利亞	伊利濟省		阿爾及利亞伊利濟省	阿爾及利亞伊利濟省	45712		2022-01-26	
阿爾及利亞	賈奈特省		阿爾及利亞賈奈特省	阿爾及利亞賈奈特省	23199		2022-01-26	
阿爾及利亞	巴吉穆赫塔爾堡省		阿爾及利亞巴吉穆赫塔爾堡省	阿爾及利亞巴吉穆赫塔爾堡省	21644		2022-01-26	
阿爾及利亞	因蓋扎姆省		阿爾及利亞因蓋扎姆省	阿爾及利亞因蓋扎姆省	14751	45089389	2022-01-26	
蘇丹	喀土穆州		蘇丹喀土穆州	蘇丹喀土穆州	8218375		2022-01-26	
蘇丹	傑濟拉州		蘇丹傑濟拉州	蘇丹傑濟拉州	5266768		2022-01-26	
蘇丹	南達富爾州		蘇丹南達富爾州	蘇丹南達富爾州	3926005		2022-01-26	
蘇丹	加達里夫州		蘇丹加達里夫州	蘇丹加達里夫州	2639823		2022-01-26	
蘇丹	卡薩拉州		蘇丹卡薩拉州	蘇丹卡薩拉州	2607216		2022-01-26	
蘇丹	白尼羅州		蘇丹白尼羅州	蘇丹白尼羅州	2576747		2022-01-26	
蘇丹	北達富爾州		蘇丹北達富爾州	蘇丹北達富爾州	2454661		2022-01-26	
蘇丹	北科爾多凡州		蘇丹北科爾多凡州	蘇丹北科爾多凡州	2359194		2022-01-26	
蘇丹	森納爾州		蘇丹森納爾州	蘇丹森納爾州	1975083		2022-01-26	
蘇丹	西科爾多凡州		蘇丹西科爾多凡州	蘇丹西科爾多凡州	1857700		2022-01-26	
蘇丹	東達富爾州		蘇丹東達富爾州	蘇丹東達富爾州	1654687		2022-01-26	
蘇丹	紅海州		蘇丹紅海州	蘇丹紅海州	1584399		2022-01-26	
蘇丹	尼羅州		蘇丹尼羅州	蘇丹尼羅州	1573926		2022-01-26	
蘇丹	南科爾多凡州		蘇丹南科爾多凡州	蘇丹南科爾多凡州	1350646		2022-01-26	
蘇丹	青尼羅州		蘇丹青尼羅州	蘇丹青尼羅州	1155330		2022-01-26	
蘇丹	西達富爾州		蘇丹西達富爾州	蘇丹西達富爾州	1063926		2022-01-26	
蘇丹	北方州		蘇丹北方州	蘇丹北方州	976584		2022-01-26	
蘇丹	中達富爾州		蘇丹中達富爾州	蘇丹中達富爾州	780305		2022-01-26	
蘇丹	艾卜耶地區		蘇丹艾卜耶地區	蘇丹艾卜耶地區	124040	44145415	2022-01-26	
伊拉克	巴格達省		伊拉克巴格達省	伊拉克巴格達省	8874825		2022-01-26	
伊拉克	尼尼微省		伊拉克尼尼微省	伊拉克尼尼微省	4073345		2022-01-26	
伊拉克	巴斯拉省		伊拉克巴斯拉省	伊拉克巴斯拉省	3176218		2022-01-26	
伊拉克	濟加爾省		伊拉克濟加爾省	伊拉克濟加爾省	2288033		2022-01-26	
伊拉克	巴比倫省		伊拉克巴比倫省	伊拉克巴比倫省	2255130		2022-01-26	
伊拉克	蘇萊曼尼亞省		伊拉克蘇萊曼尼亞省	伊拉克蘇萊曼尼亞省	2242312		2022-01-26	
伊拉克	艾比爾省		伊拉克艾比爾省	伊拉克艾比爾省	2025511		2022-01-26	
伊拉克	安巴爾省		伊拉克安巴爾省	伊拉克安巴爾省	1934737		2022-01-26	
伊拉克	迪亞拉省		伊拉克迪亞拉省	伊拉克迪亞拉省	1787933		2022-01-26	
伊拉克	基爾庫克省		伊拉克基爾庫克省	伊拉克基爾庫克省	1744961		2022-01-26	
